Date,US_SUR,US_MoM_ES_Shift,World_SUR,World_MoM_ES_Shift
2010-05-01,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-02,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-03,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-04,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-05,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-06,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-07,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-08,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-09,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-10,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-11,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-12,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-13,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-14,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-15,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-16,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-17,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-18,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-19,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-20,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-21,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-22,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
2010-05-23,2.004275996112731,0.08035620743844962,0.2787705607612196,0.002712996295716641
